,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
2509,GBDC,4.17B ,-- ,7.79 ,8.89 ,-- ,7.37 ,1.61 ,20.38 ,18.93 ,9/30/2023,3/31/2024,53.05%,79.56%,5.35%,13.49%,648.26M,3.81,11.80%,--,--,343.88M,2.03,59.90%,300.75M,1.75,3.27B,125.96%,6.73,15.12,425.68M,82.02M,0.55,23.23%,926.67k,1.54M,263.63M,263.63M,--,4.29M,5.11,2.57%,2.50%,4.33M,1.56,9.86%,1.46,9.23%,71.92%,12/13/2024,8/16/2024,1021:1000,4/13/2020,,
2510,GBIO,228.53M ,105.17M ,-- ,-- ,-- ,22.77 ,1.73 ,10.56 ,-1.00 ,12/31/2023,3/31/2024,0.00%,-510.08%,-21.68%,-82.24%,9.96M,0.15,--,--,-119.16M,-169.06M,-2.5500,--,219.3M,3.3,95.94M,72.69%,8.01,1.99,-56.77M,-5.34M,2.87,23.23%,195.39k,103.85k,66.53M,66.53M,48.58M,1.62M,7.4,4.08%,2.44%,1.58M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2511,GBLI,421.45M ,398.50M ,12.49 ,12.15 ,-- ,0.86 ,0.64 ,0.81 ,-- ,12/31/2023,3/31/2024,7.00%,12.70%,1.66%,5.33%,490.01M,36.22,-25.60%,--,47.59M,33.86M,2.48,355.70%,38.86M,2.86,11.91M,1.81%,1.87,48.18,60.24M,-46.43M,0.46,23.23%,4.33k,2.63k,9.81M,13.6M,4.47M,4.65k,2.32,0.12%,0.03%,6.95k,1.4,4.52%,1.10,3.55%,44.35%,6/28/2024,6/21/2024,1:2,7/6/2010,,
2512,GBNY,22.91M ,-- ,21.81 ,-- ,-- ,2.55 ,0.62 ,5.58 ,-- ,12/31/2023,3/31/2024,-19.67%,-33.81%,-0.49%,-5.27%,9.96M,4.60,-28.00%,--,--,-1.96M,-0.90,--,13.32M,5.94,25.47M,--,--,16.46,877k,--,0.39,23.23%,592,1.07k,2.24M,2.24M,1.48M,13.36k,26.04,0.81%,0.60%,13.42k,--,--,0.00,0.00%,0.00%,--,2/15/2012,--,--,,
2513,GBR,7.18M ,6.79M ,30.91 ,-- ,-- ,50.24 ,1.58 ,47.49 ,28.44 ,12/31/2023,3/31/2024,-25.17%,-152.78%,-3.54%,-0.79%,143k,0.03,-20.00%,--,-250k,-36k,-0.0100,-88.20%,395k,0.08,--,--,6.81,0.89,-31k,3.37M,0.35,23.23%,92.65k,40.8k,5.13M,5.13M,3.73M,6.45k,0.04,0.17%,0.13%,35.71k,--,--,0.00,0.00%,0.00%,--,--,2:1,10/29/2003,,
2514,GBTG,3.03B ,3.99B ,-- ,-- ,-- ,1.27 ,2.59 ,1.72 ,17.13 ,12/31/2023,3/31/2024,-3.44%,6.56%,1.64%,-10.14%,2.32B,6.60,5.50%,--,223M,-80M,-0.28,--,475M,1,1.44B,122.49%,1.50,2.48,288M,360.25M,0.60,23.23%,378.28k,747.81k,472.62M,472.62M,72.57M,1.64M,4.58,1.09%,0.35%,1.39M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2515,GBX,1.56B ,3.10B ,14.77 ,12.18 ,-- ,0.45 ,1.20 ,0.83 ,9.02 ,8/31/2023,2/29/2024,2.97%,6.79%,3.99%,8.30%,3.73B,119.49,-23.10%,--,363.2M,110.7M,3.39,0.90%,284.1M,9.13,1.79B,118.80%,2.06,41.76,222M,-121.45M,1.57,23.23%,330.96k,334.09k,31.13M,31.13M,30.11M,1.93M,7.36,9.15%,6.21%,1.97M,1.2,2.40%,1.20,2.40%,34.51%,5/14/2024,4/22/2024,--,--,,
2516,GCBC,513.36M ,-- ,20.94 ,-- ,-- ,7.82 ,2.58 ,9.13 ,-- ,6/30/2023,3/31/2024,37.92%,42.22%,0.88%,12.97%,64.59M,3.79,-19.80%,--,--,24.5M,1.44,-27.60%,259.5M,15.24,88.2M,--,--,11.70,24.23M,--,0.40,23.23%,19.79k,39.55k,17.03M,17.03M,6.93M,70.46k,3.88,1.16%,0.41%,45.47k,0.32,1.06%,0.32,1.06%,21.53%,5/30/2024,5/14/2024,2:1,3/24/2023,,
2517,GCI,649.21M ,1.83B ,-- ,-- ,-- ,0.23 ,2.78 ,0.69 ,9.44 ,12/31/2023,3/31/2024,-4.67%,2.78%,2.53%,-44.41%,2.63B,18.74,-5.00%,--,240.07M,-122.9M,-0.8700,--,93.33M,0.67,1.27B,545.05%,0.79,1.68,110.31M,122.72M,2.44,23.23%,1.15M,1.45M,147.55M,147.55M,106.31M,16.8M,12.78,11.95%,11.39%,16.42M,--,--,0.00,0.00%,0.00%,11/12/2019,10/31/2019,--,--,,
2518,GCMG,425.87M ,811.20M ,-- ,14.01 ,-- ,3.94 ,-- ,1.77 ,750.42 ,12/31/2023,3/31/2024,3.57%,-14.92%,-1.92%,--,451.93M,10.38,8.10%,--,-12.27M,16.13M,0.41,--,41.86M,0.95,429.27M,--,0.77,-0.61,121.03M,33.48M,0.54,23.23%,167.19k,102.14k,186.88M,186.88M,42.98M,2.45M,14.35,10.75%,5.55%,2.3M,0.44,4.57%,0.44,4.57%,420.00%,6/17/2024,6/3/2024,--,--,,
2519,GCMGW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,3.57%,-14.92%,-1.92%,--,451.93M,10.38,8.10%,--,-12.27M,16.13M,--,--,41.86M,0.95,429.27M,--,0.77,--,121.03M,33.48M,0.54,23.23%,--,--,--,--,42.98M,,,,,,--,--,--,--,--,--,--,--,--,,
2520,GCO,288.10M ,799.41M ,-- ,41.32 ,-- ,0.12 ,0.53 ,0.35 ,-- ,2/3/2024,5/4/2024,-0.97%,-6.92%,0.33%,-5.14%,2.3B,208.59,-5.30%,--,58.77M,-29.04M,-2.72,--,19.25M,1.65,530.56M,96.74%,1.65,47.07,121.5M,57.15M,2.37,23.23%,132.98k,193.58k,11.63M,11.7M,10.67M,724.57k,6.48,7.54%,6.23%,754.51k,--,--,0.00,0.00%,0.00%,--,4/9/1973,--,--,,
2521,GCT,1.30B ,1.58B ,12.38 ,10.48 ,0.39 ,1.58 ,4.10 ,1.91 ,11.75 ,12/31/2023,3/31/2024,12.74%,13.87%,11.51%,39.84%,827.11M,20.27,96.50%,--,134.86M,105.36M,2.57,70.60%,195.29M,4.76,471.61M,148.41%,1.83,7.79,128.41M,32.08M,--,23.23%,3M,1.46M,32.91M,--,24.12M,3.63M,1.29,19.34%,8.87%,2.55M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2522,GCTK,13.42M ,12.20M ,-- ,-- ,-- ,-- ,35.70 ,-- ,-1.02 ,12/31/2023,3/31/2024,0.00%,0.00%,-326.59%,"-4,515.76%",--,--,--,--,-8.76M,-9.59M,-2.1000,--,1.5M,0.27,272k,72.34%,1.31,0.07,-8.19M,-4.98M,0.13,23.23%,41.6k,26.28k,5.48M,5.54M,3.01M,1.58k,0.03,0.04%,0.03%,21.23k,--,--,0.00,0.00%,0.00%,--,--,1:5,5/20/2024,,
2523,GCTS,249.64M ,285.03M ,-- ,-- ,-- ,24.65 ,-- ,17.78 ,-- ,12/31/2023,3/31/2024,-125.19%,-226.65%,-46.66%,--,16.23M,0.13,6.60%,--,-19.21M,-20.32M,--,--,16.12M,0.35,51.51M,--,0.45,--,-21.76M,-28.94M,1.11,23.23%,929.07k,380.05k,45.89M,45.89M,30.07M,139.61k,0.45,--,0.55%,439.72k,--,--,--,--,0.00%,--,--,--,--,,
2524,GCV,69.72M ,-- ,-- ,-- ,-- ,-- ,0.95 ,-- ,-- ,9/30/2023,3/31/2024,14.18%,83.43%,--,--,4.3M,--,--,--,--,609.11k,-1.6700,--,1.48k,0,--,--,1.67,3.85,8.05M,--,0.91,23.23%,39.62k,50.52k,19.47M,19.47M,--,29.73k,0.89,0.17%,0.15%,13.25k,0.48,13.41%,0.48,13.41%,"1,600.00%",12/14/2018,6/13/2024,--,--,,
2525,GD,80.26B ,90.28B ,23.86 ,20.12 ,1.85 ,1.87 ,3.75 ,2.09 ,16.94 ,12/31/2023,3/31/2024,7.85%,9.75%,4.59%,16.71%,43.12B,157.95,8.60%,--,4.79B,3.38B,12.26,9.50%,1.04B,3.78,11.06B,51.67%,1.44,78.16,2.97B,740M,0.64,23.23%,1.01M,842.72k,274.36M,274.36M,256.28M,2.02M,1.74,0.82%,0.73%,1.79M,5.68,1.94%,5.38,1.84%,43.88%,8/9/2024,7/5/2024,2:1,3/27/2006,,
2526,GDC,10.80M ,11.95M ,-- ,-- ,-- ,0.18 ,1.27 ,10.78 ,-0.79 ,12/31/2023,3/31/2024,0.00%,0.00%,-147.50%,-287.59%,--,--,--,--,-16.16M,-14.36M,-3.7800,--,486.2k,0.06,1.64M,18.43%,11.29,1.07,-16.48M,-17.49M,1.12,23.23%,206.96k,136.68k,9.5M,9.5M,7.87M,61.8k,0.6,0.79%,0.78%,170.09k,--,--,0.00,0.00%,0.00%,--,--,1:30,11/9/2022,,
2527,GDDY,19.48B ,22.73B ,11.97 ,30.30 ,-- ,4.75 ,46.95 ,5.25 ,27.26 ,12/31/2023,3/31/2024,39.96%,16.91%,6.10%,"5,833.73%",4.33B,29.76,7.00%,--,895.4M,1.73B,11.54,748.80%,812.5M,5.76,3.94B,949.23%,0.55,2.91,1.07B,848.26M,1.10,23.23%,1.27M,1.63M,140.94M,312.22k,140.27M,3M,2.4,2.74%,2.13%,2.52M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2528,GDEN,861.51M ,1.22B ,3.20 ,4.60 ,-- ,0.96 ,1.51 ,1.28 ,2.29 ,12/31/2023,3/31/2024,30.14%,5.99%,3.57%,62.05%,949.15M,33.01,-37.40%,--,173.28M,286.09M,9.30,260.80%,404.34M,13.97,760.77M,133.56%,2.36,19.68,90.45M,367.21M,2.21,23.23%,256.47k,359.32k,28.95M,28.95M,21.57M,513.65k,2.09,2.79%,1.77%,576.89k,1,3.36%,0.25,0.85%,2.69%,7/2/2024,6/14/2024,1:2,9/10/2014,,
2529,GDEV,452.66M ,299.07M ,10.87 ,-- ,-- ,1.08 ,-- ,0.64 ,5.30 ,12/31/2023,12/31/2023,9.93%,7.35%,7.46%,--,464.55M,2.35,5.90%,--,43.17M,46.12M,0.2300,--,159.28M,0.88,2.44M,--,0.71,-0.50,17.95M,-4.72M,0.78,23.23%,4.42k,10.67k,181.06M,191.76M,21.78M,46.23k,24.47,0.14%,0.03%,48.82k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2530,GDEVW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,9.93%,7.35%,7.46%,--,464.55M,2.35,5.90%,--,43.17M,46.12M,33.4000,--,159.28M,0.88,2.44M,--,0.71,"-5,137.70",17.95M,-4.72M,0.78,23.23%,--,--,--,--,21.78M,,,,,,--,--,--,--,--,--,--,--,--,,
2531,GDHG,10.29M ,16.33M ,1.53 ,-- ,-- ,0.32 ,0.17 ,0.51 ,1.15 ,9/30/2023,9/30/2023,20.60%,2.50%,8.63%,11.84%,31.79M,0.63,-44.20%,--,14.09M,6.55M,0.1300,--,245.91k,0,6.29M,10.30%,1.01,1.18,-19.34M,-11.75M,--,23.23%,5.29M,20.25M,41.75M,51.75M,1.73M,632.16k,0.21,1.75%,1.22%,577.8k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2532,GDL,92.20M ,-- ,14.43 ,-- ,-- ,12.76 ,0.76 ,12.62 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,0.54,--,--,--,--,--,--,--,--,--,--,23.23%,9.41k,8.56k,11.84M,11.84M,--,,,,,,0.48,6.20%,0.00,0.00%,106.67%,12/14/2018,9/14/2023,--,--,,
2533,GDO,185.37M ,-- ,24.80 ,-- ,-- ,23.33 ,1.04 ,33.25 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,0.50,--,--,--,--,--,--,--,--,--,--,23.23%,46.46k,28.48k,14.95M,14.95M,--,,,,,,1.22,10.69%,0.00,0.00%,--,3/1/2019,10/23/2023,--,--,,
2534,GDOT,516.67M ,-612.04M ,13.55 ,-- ,-- ,0.33 ,0.59 ,0.04 ,0.38 ,12/31/2023,3/31/2024,-1.60%,3.73%,-0.49%,-2.84%,1.53B,29.20,8.60%,--,--,-24.54M,-0.48,-86.80%,1.12B,21.03,50.32M,--,--,16.38,86.16M,--,0.98,23.23%,543.5k,463.62k,53.21M,53.21M,44.71M,2.2M,4.2,4.72%,4.14%,2.95M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2535,GDRX,3.30B ,3.47B ,871.85 ,27.55 ,-- ,4.65 ,5.22 ,4.54 ,32.14 ,12/31/2023,3/31/2024,-0.86%,10.30%,2.41%,-0.90%,764.16M,1.89,7.60%,--,77.07M,-6.59M,-0.01,--,533.3M,1.42,710.18M,112.54%,6.29,1.68,148.59M,98.82M,1.40,23.23%,1.29M,1.29M,94.46M,375.33M,78.95M,7.45M,5.88,8.93%,1.99%,8.8M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2536,GDS,1.75B ,7.81B ,-- ,10.00k ,-- ,1.17 ,0.68 ,5.46 ,38.96 ,12/31/2023,3/31/2024,-40.88%,8.34%,0.50%,-19.06%,10.17B,55.42,9.10%,--,4.15B,-4.21B,-3.23,--,7.64B,5.2,49.66B,250.93%,1.13,101.00,2.07B,-2.35B,0.23,23.23%,1.58M,876.23k,194.4M,241.48M,832.35M,9.45M,7,--,5.14%,10.46M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2537,GDST,77.20M ,78.96M ,51.09 ,-- ,-- ,-- ,1.52 ,-- ,-- ,3/31/2024,3/31/2024,0.00%,0.00%,-0.91%,--,--,--,--,--,--,1.6M,0.22,228.50%,30.82k,0,1.79M,--,0.03,-2.50,-1.07M,241.48k,--,23.23%,9.83k,1.86k,6.84M,6.84M,4.71M,1.19k,0.47,0.02%,0.02%,627,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2538,GDTC,23.77M ,17.43M ,-- ,-- ,-- ,-- ,2.86 ,-- ,-- ,12/31/2023,12/31/2023,0.00%,-811.27%,-27.30%,-69.87%,507.74k,0.05,-22.80%,--,-3.46M,-4.13M,-0.2900,--,9M,0.78,448.02k,3.98%,14.08,0.98,-3.43M,-2.04M,--,23.23%,6.13k,3.67k,11.54M,12.23M,3.55M,38.47k,5.68,2.26%,0.33%,39.35k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2539,GDV,2.04B ,-- ,7.79 ,-- ,-- ,7.72 ,0.89 ,7.72 ,-- ,12/31/2023,12/31/2023,481.65%,48.87%,0.65%,10.75%,54.51M,0.61,7.60%,--,--,253.5M,2.91,-20.30%,308.59k,0,145.1M,5.80%,1.62,25.58,132.78M,16.93M,1.19,23.23%,146.94k,147.31k,89.98M,91.55M,--,7.87k,0.05,0.01%,0.01%,11.31k,1.32,5.82%,1.32,5.82%,45.36%,3/22/2019,7/17/2024,1054:1000,6/24/2014,,
2540,GDYN,721.59M ,482.81M ,235.75 ,-- ,-- ,2.28 ,1.88 ,1.54 ,56.11 ,12/31/2023,3/31/2024,0.72%,-6.94%,-0.12%,0.61%,312.65M,4.14,-0.30%,--,9.41M,2.26M,0.04,--,249.44M,3.26,10.66M,2.78%,7.48,5.00,32.66M,27.46M,0.95,23.23%,352.71k,389.89k,76.52M,76.52M,56.36M,3.17M,7.98,5.61%,4.15%,2.89M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2541,GE,170.42B ,168.76B ,40.97 ,39.68 ,1.92 ,2.46 ,5.71 ,2.43 ,19.21 ,12/31/2023,3/31/2024,5.05%,9.61%,2.43%,13.64%,69.52B,63.81,10.80%,--,8.48B,4.19B,3.80,-79.50%,20.28B,18.53,22.43B,72.12%,1.17,27.27,6.43B,6.14B,1.24,23.23%,7.34M,5.65M,1.09B,1.09B,1.09B,11.12M,1.64,1.02%,1.02%,10.93M,1.12,0.72%,0.52,0.33%,6.32%,4/25/2024,4/12/2024,1253:1000,4/2/2024,,
2542,GECC,101.14M ,-- ,4.84 ,8.49 ,-- ,3.90 ,0.85 ,11.43 ,-- ,12/31/2023,3/31/2024,46.02%,67.40%,5.24%,15.99%,36.32M,4.62,5.90%,--,--,16.71M,2.21,--,334k,0.04,145.47M,122.45%,0.13,12.57,-8.4M,-53.18M,1.58,23.23%,18.55k,28.39k,9.45M,9.45M,--,11.71k,0.92,0.23%,0.12%,8.15k,1.4,13.08%,1.40,13.53%,63.35%,6/28/2024,6/14/2024,1:6,2/28/2022,,
2543,GECCI,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.52k,3.56k,--,--,--,,,,,,--,--,--,--,--,--,--,--,--,,
2544,GECCM,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.8k,1.23k,--,--,--,,,,,,--,--,--,--,--,6/30/2024,--,--,--,,
2545,GECCO,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.46k,730,--,--,--,,,,,,--,--,--,--,--,6/30/2024,--,--,--,,
2546,GECCZ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,--,--,--,--,--,3/31/2024,--,--,--,,
2547,GEF,2.91B ,6.01B ,13.15 ,-- ,-- ,0.68 ,1.76 ,1.15 ,9.05 ,10/31/2023,4/30/2024,5.17%,7.68%,4.88%,14.31%,5.22B,111.19,4.70%,--,742.2M,269.7M,4.65,-60.10%,196M,4.16,3.29B,151.61%,1.57,42.62,497.8M,221.41M,0.90,23.23%,172.46k,203.63k,25.81M,47.54M,27.59M,545.55k,4.29,--,1.03%,613.61k,2.08,3.40%,2.08,3.40%,44.30%,7/1/2024,6/18/2024,2:1,4/12/2007,,
2548,GEG,58.01M ,1.31M ,-- ,-- ,-- ,5.01 ,0.89 ,0.11 ,-- ,6/30/2023,3/31/2024,-49.68%,-67.06%,-4.21%,-7.98%,11.94M,0.40,46.80%,--,-8.51M,-5.95M,-0.2100,--,121.09M,4.01,64.39M,88.85%,12.44,2.15,-18.1M,-9.81M,1.06,23.23%,30.83k,5.82k,31.88M,31.88M,12.4M,3.11k,0.09,0.02%,0.01%,9.28k,--,--,0.00,0.00%,0.00%,--,6/13/2007,1:12,1/6/2016,,
2549,GEGGL,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.48k,4.81k,--,--,--,,,,,,--,--,--,--,--,6/30/2024,--,--,--,,
2550,GEHC,35.15B ,42.26B ,22.38 ,17.92 ,5.97 ,1.81 ,4.74 ,2.17 ,12.17 ,12/31/2023,3/31/2024,8.05%,13.85%,5.62%,22.39%,19.5B,42.80,-1.20%,--,3.52B,1.57B,3.44,0.50%,2.55B,5.59,9.67B,127.23%,1.06,16.23,2.05B,1.79B,--,23.23%,2.79M,2.99M,456.46M,456.46M,425.09M,10.36M,3.56,2.89%,2.27%,10.95M,0.12,0.16%,0.12,0.16%,3.49%,5/15/2024,4/18/2024,--,--,,
2551,GEL,1.67B ,5.50B ,40.06 ,-- ,-- ,0.53 ,205.41 ,1.74 ,8.02 ,12/31/2023,3/31/2024,4.14%,9.36%,3.25%,9.44%,3.16B,25.77,-2.60%,--,632.9M,42.1M,0.34,--,7.05M,0.06,3.85B,227.94%,1.05,4.07,549.39M,-223.68M,2.03,23.23%,405.29k,334.73k,122.42M,122.46M,106.54M,2.91M,6.98,4.02%,2.38%,1.79M,0.6,4.41%,0.60,4.41%,176.47%,5/15/2024,4/29/2024,--,--,,
2552,GEN,15.33B ,23.14B ,25.51 ,11.19 ,0.66 ,4.12 ,6.98 ,6.07 ,14.35 ,3/29/2024,3/29/2024,16.16%,43.64%,5.99%,28.02%,3.81B,5.98,2.10%,--,1.78B,616M,0.96,-85.40%,846M,1.35,8.65B,393.95%,0.51,3.53,2.06B,976.5M,1.08,23.23%,4.81M,6.61M,626.15M,626.15M,568.55M,19.95M,4.12,4.13%,3.19%,17.04M,0.5,2.04%,0.50,2.04%,52.08%,6/12/2024,5/17/2024,2:1,12/1/2004,,
2553,GENC,280.26M ,163.66M ,16.63 ,-- ,-- ,2.43 ,1.46 ,1.42 ,8.45 ,9/30/2023,3/31/2024,14.61%,17.39%,5.17%,9.18%,115.44M,7.88,33.40%,--,19.37M,16.86M,1.15,27.70%,117.11M,7.99,509k,0.26%,13.83,13.11,13.7M,5.32M,0.48,23.23%,30.97k,21.94k,12.34M,14.66M,10.28M,114.07k,3.72,1.12%,0.78%,86.48k,--,--,0.00,0.00%,0.00%,--,12/29/1998,3:2,8/2/2016,,
2554,GENE,6.05M ,3.82M ,-- ,-- ,-- ,1.23 ,1.85 ,0.68 ,-2.44 ,6/30/2023,12/31/2023,-124.08%,-105.96%,-52.71%,-160.47%,10.24M,2.73,-2.10%,--,-9.86M,-12.71M,-0.1500,--,3.73M,0.03,382.32k,7.95%,1.67,0.04,-7.6M,-4.6M,0.44,23.23%,61.24k,106.25k,3.22M,24.81M,20.15M,25.48k,0.8,--,0.66%,15.66k,--,--,0.00,0.00%,0.00%,8/15/2019,--,1:5,12/14/2023,,
2555,GENI,1.11B ,1.05B ,-- ,-- ,-- ,2.75 ,2.01 ,2.41 ,133.34 ,12/31/2023,3/31/2024,-19.73%,-19.89%,-6.09%,-15.01%,435.47M,1.91,23.10%,--,-26.64M,-85.91M,-0.38,--,73.34M,0.35,8.27M,1.50%,1.31,2.63,19.12M,21.96M,1.96,23.23%,1.87M,1.23M,210.96M,212.15M,133.63M,6.65M,3.54,4.30%,3.15%,6.62M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2556,GENK,47.20M ,165.70M ,9.90 ,208.33 ,-- ,0.25 ,5.86 ,0.88 ,7.79 ,12/31/2023,3/31/2024,2.54%,0.21%,1.77%,60.45%,187.9M,41.65,15.70%,--,10.35M,-3.31M,1.06,-88.00%,28.12M,6.23,148.46M,367.83%,0.95,1.97,22.89M,4.27M,--,23.23%,78.43k,46.22k,4.51M,32.4M,3.03M,124.77k,2.53,3.25%,2.77%,160.41k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2557,GEO,1.79B ,3.52B ,19.57 ,12.61 ,1.26 ,0.68 ,1.36 ,1.46 ,7.50 ,12/31/2023,3/31/2024,4.23%,13.14%,5.76%,8.12%,2.41B,19.73,-0.40%,--,465.33M,84.7M,0.67,-19.10%,126.5M,0.95,1.86B,142.30%,1.26,10.61,276M,164.42M,0.63,23.23%,2.61M,2.41M,136.31M,136.31M,128.45M,10.27M,4.11,10.63%,7.53%,22.57M,--,--,0.00,0.00%,0.00%,2/1/2021,1/22/2021,3:2,4/25/2017,,
2558,GEOS,129.48M ,78.92M ,8.14 ,-- ,-- ,0.95 ,0.91 ,0.58 ,2.47 ,9/30/2023,3/31/2024,11.75%,-18.57%,6.57%,11.97%,136.33M,10.30,-22.60%,--,30.94M,16.02M,1.19,--,51.21M,3.83,654k,0.46%,6.11,10.64,14.37M,16.98M,0.74,23.23%,76.93k,81.2k,13.36M,13.36M,12.37M,220.71k,2.76,2.01%,1.65%,223.1k,--,--,0.00,0.00%,0.00%,--,--,2:1,10/19/2012,,
2559,GERN,2.90B ,2.54B ,-- ,-- ,-- ,5.51k ,8.41 ,4.89k ,-9.06 ,12/31/2023,3/31/2024,0.00%,"-18,465.13%",-28.94%,-60.04%,520k,0.00,"1,347.60%",--,-209.53M,-201.4M,-0.3400,--,443.05M,0.75,86.53M,25.09%,3.67,0.58,-183.63M,-108.98M,0.43,23.23%,13.73M,23.42M,593.13M,593.13M,515.43M,53.89M,5.8,9.14%,9.09%,49.42M,--,--,0.00,0.00%,0.00%,--,--,1058:1000,7/22/2014,,
2560,GES,1.19B ,2.33B ,6.29 ,8.50 ,-- ,0.56 ,2.11 ,0.83 ,6.73 ,2/3/2024,5/4/2024,7.97%,-1.30%,6.26%,42.75%,2.8B,52.84,3.90%,--,322M,220.5M,3.54,--,241.65M,4.51,1.38B,227.21%,1.57,10.57,320.12M,145.9M,1.94,23.23%,1.49M,1.42M,53.53M,53.53M,27.9M,8.87M,7.25,23.18%,16.59%,8.52M,1.2,5.39%,1.20,5.39%,33.90%,6/28/2024,6/12/2024,2:1,3/13/2007,,
2561,GETR,14.34M ,108.56M ,-- ,-- ,-- ,0.18 ,1.74 ,1.39 ,-5.52 ,12/31/2023,3/31/2024,-155.92%,-143.29%,-35.21%,"-1,007.28%",78.32M,0.83,48.90%,--,-82.25M,-122.11M,-1.3000,--,24.7M,0.26,118.53M,--,0.43,-0.29,-45.68M,-16.08M,1.06,23.23%,1.78M,972.03k,93.11M,93.11M,55.76M,2.47M,0.66,4.52%,2.65%,279.26k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2562,GETY,1.55B ,2.85B ,53.43 ,-- ,-- ,1.71 ,2.38 ,3.15 ,14.69 ,12/31/2023,3/31/2024,3.33%,19.87%,4.40%,4.60%,903.19M,2.25,-5.70%,--,251.68M,30.1M,0.0700,399.10%,134.2M,0.33,1.43B,207.81%,0.86,1.57,122.33M,141.14M,2.10,23.23%,525.68k,600.51k,408.59M,408.59M,121.63M,3.27M,8.97,9.07%,0.80%,2.94M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2563,GEV,48.29B ,47.36B ,-- ,54.95 ,-- ,1.43 ,5.38 ,1.41 ,35.94 ,12/31/2023,3/31/2024,-0.75%,-0.17%,--,--,33.68B,122.87,6.40%,--,755M,-253M,--,--,3.26B,11.88,1.02B,10.23%,0.99,--,1.43B,--,--,23.23%,4.94M,4.6M,274.09M,274.09M,274.04M,4.59M,1.72,--,2.62%,3.86M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
